survive,niat_s,cr_s,wcat_s,reat_s,ebitaat_s
1,.0662972,-.0880201,.0388619,.0517583,.0691829
1,.0691686,-.092061,.0372649,.0517691,.0778584
1,.069204,-.0919781,.0365277,.0515482,.0775283
1,.0697954,-.0922187,.0362539,.0516263,.0785303
1,.0696623,-.0923672,.0358402,.0515797,.0778455
1,.021798,-.0509463,.0411248,.045191,-.0067368
1,.0713873,-.0618107,.0368757,.0521699,.0799453
1,.0703383,-.0276003,.0362908,.0525343,.0795865
1,.072043,-.0915786,.0372043,.0519351,.0838385
1,.0695475,-.0915427,.0356843,.0518768,.0769404
1,.070465,-.0864147,.0364182,.0496011,.0841929
1,.0668069,-.0737698,.0366004,.0514256,.0776392
1,.0709613,.7113515,.0383556,.0523574,.0811131
1,.0583218,-.0899934,.0372133,.0508778,.0763577
1,.0705016,-.0666743,.0372815,.0519201,.0767609
1,.0738289,-.0925606,.0353178,.0515408,.0896311
1,.0698425,-.073711,.0367842,.0515223,.0790092
1,.0748686,-.0921114,.0369551,.0524173,.0861562
1,.0680152,-.089061,.0364217,.0513007,.0732628
1,.0663584,.0255212,.0399555,.0520491,.0739302
1,.077851,-.0895505,.0365544,.0525935,.0971776
1,.0625489,-.092388,.036567,.0510873,.0705034
1,.0699706,.3563879,.0368214,.0517475,.0782883
1,.0699585,-.0920449,.0361878,.0515684,.0783315
1,-.4990423,-.0929368,-.5380307,-.1109475,-.0479645
1,.0687471,-.0884776,.0385776,.0519206,.0759136
1,.0711621,-.0266619,.0406122,.0520393,.0809408
1,.0682786,-.0466339,.0367237,.0511622,.0766992
1,.0119546,-.092844,.0303375,.0500488,-.011749
1,.0707491,-.0568717,.03818,.0517888,.0788644
1,.0713033,-.0880632,.0375267,.051867,.0816472
1,.0696669,-.0894311,.0365287,.0515646,.0777432
1,.0696709,-.0915154,.036485,.0516977,.0777753
1,.0690208,-.0916657,.0366253,.0518378,.0764558
1,.0691733,-.0917405,.0367738,.0513228,.0770521
1,.0702828,-.0764993,.0372906,.0516845,.0783323
1,.0712166,-.0910549,.0365288,.0517279,.0762043
1,.07278,-.0689762,.0376815,.0516404,.0758818
1,.0692744,-.0927285,.0352306,.0514197,.0768341
1,.0729551,-.0876658,.0381846,.051372,.0811603
1,.070899,-.0843575,.0360684,.0515797,.0818554
1,.070735,.2188291,.0378602,.0518975,.0787396
1,.0614067,-.0802145,.0370297,.0514303,.0782257
1,.0708165,-.0807348,.0367528,.051061,.0825624
1,.0737438,-.0877614,.0398005,.0511938,.0898178
1,.0738186,.0215137,.0386098,.0515984,.0838288
1,.0706989,-.0689558,.0383833,.0518126,.0783144
1,.0705127,-.0896186,.037408,.0519764,.0795708
1,-.0053339,-.092745,.0094537,-.0116286,.0152558
1,.0685367,-.0801807,.0369717,.0513804,.0768865
1,.0646187,-.068548,.038316,.0510941,.0718899
1,.0711641,-.0549901,.0372692,.0520204,.0800459
1,.0670227,-.0364504,.0414267,.0514115,.0720124
1,.0709485,-.089098,.0368384,.0521559,.0810103
1,.0720136,.4372432,.0403311,.0521953,.0690767
1,.071032,-.0894511,.0374962,.0517828,.0812032
1,.0713523,-.0913536,.0367627,.051816,.0820905
1,.0703897,-.0886522,.0407683,.0517613,.0765076
1,.067198,-.0913185,.0361106,.0511195,.0739767
1,.0722224,-.09097,.0359647,.0514757,.0870163
1,.0694907,-.0920145,.0364917,.0516097,.0774639
1,.0737431,-.0917592,.0363966,.0520991,.0858346
1,.0703748,-.0905956,.0392181,.0514265,.0826905
1,.0689539,-.0627841,.0386456,.051943,.0784673
1,.0642487,-.091366,.0385825,.0515453,.0661412
1,.0691672,.0678927,.037855,.0520737,.0761682
1,.0688249,-.0921369,.0387528,.0516898,.0753797
1,.0708739,-.0897739,.0367413,.0519957,.0801741
1,.057795,-.0901802,.0384076,.0510829,.07061
1,.0702326,.0685307,.0369108,.0514899,.081852
1,.0625434,-.0920952,.0368628,.0508296,.0660128
1,.0698663,-.0920401,.0364248,.0515874,.0787566
1,.0729887,-.0867392,.0383212,.0519829,.084036
1,.0683485,-.0901424,.0371337,.0514836,.0796852
1,.0688559,-.0826674,.0362461,.0514832,.0758923
1,.0705475,-.0701946,.0377492,.052264,.0797173
1,.0689375,-.0909899,.0370838,.0516884,.0755599
1,.0705035,-.0423512,.035943,.0518764,.0792275
1,.0712914,-.0913789,.0376392,.0519659,.0806959
1,.0697994,-.0823206,.0380538,.0520354,.0796338
1,.0693478,-.0908871,.0366246,.0514899,.0771791
1,.0767961,.0505798,.0360459,.0522075,.0934936
1,.0730716,-.0635935,.038071,.0518356,.0851492
1,.0650018,.0205577,.0385279,.051804,.0786827
1,.0687647,-.0921578,.0380826,.0513691,.0767452
1,.0707502,-.0910817,.0376681,.0515805,.0802297
1,.0697612,1.851405,.037276,.0519345,.077685
1,.0689577,-.0902531,.0393716,.0521278,.0763316
1,.0672483,-.070648,.0376543,.052045,.0751198
1,.0695605,-.0806259,.0371832,.0516602,.0757557
1,.0722713,-.0870244,.0371807,.0520695,.0844742
1,.0729879,-.0230428,.0407433,.0524858,.0844476
1,.0698582,-.0910036,.0366677,.0518043,.0780388
1,.0389298,-.0919106,.0289039,.0430054,.0312846
1,.0654366,-.0909694,.0379359,.051078,.0583782
1,.0724588,-.0886802,.0373426,.0522831,.0846999
1,.0759227,-.0900167,.0387435,.0508622,.0877841
1,.0691023,-.0906722,.0376161,.0517644,.0767554
1,.0698599,-.0892771,.0365241,.0515371,.0787898
1,.0712317,-.0407172,.0387536,.0513118,.0837321
